Company	Role / Position	Company Type	Funding / Stage	Tech Stack Match	Job URL / Careers Page	Application Status	Date Applied	Source / Platform	LinkedIn Company Page	HR / Recruiter Outreach Title	Suggested Outreach Channel	Follow-Up Date	Last Follow-Up	Response Received	Interview Stage	Interview Date	Notes	Salary Range (Monthly INR)	Salary Range (LPA)	Location	Work Mode	Priority	Cold Message Template ID
Google	Software Engineer (Backend / Distributed Systems)	Product-Based (Enterprise & Consumer Tech)	Unicorn / Scaled Product	★★★★☆ NestJS Go Node.js TypeScript Redis Docker	https://www.google.com/about/careers/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/google/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		High scale product engineering. Strong DSA + System Design + production NestJS/Go microservices experience.	₹60K-₹110K	8-16 LPA	Bangalore / Hyderabad / Remote	Hybrid / Remote	★★★☆☆ MEDIUM	MSG-GENERAL
HubSpot	Backend Engineer / SDE I (NestJS / TypeScript)	Product-Based (SaaS, CRM & Cloud Platforms)	Unicorn / Scaled Product	★★★★★ NestJS TypeScript PostgreSQL Prisma AsyncLocalStorage	https://www.hubspot.com/careers	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/hubspot/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		SaaS CRM match. Highlight ProductCRM multi-tenant AsyncLocalStorage isolation & DeepSeek MCP AI Copilot.	₹40K-₹75K	6-10 LPA	Chennai / Bangalore / Remote	Hybrid / Remote	★★★☆☆ MEDIUM	MSG-SAAS
Increff	SDE I / Backend Engineer (NestJS / Go)	Product-Based (Mobility, Quick-Commerce & Logistics)	Unicorn / Scaled Product	★★★★★ NestJS Uber H3 Redis WebSockets Kafka	https://www.increff.com/careers/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/increff/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Mobility/Logistics match. Highlight TaxiBy Uber H3 Hexagonal spatial index (<2ms dispatch) and GPS debouncing.	₹45K-₹80K	6-11 LPA	Bangalore / Chennai / Hybrid	Hybrid / Remote	★★★☆☆ MEDIUM	MSG-MOBILITY
Intuit	Software Engineer (Backend / Distributed Systems)	Product-Based (Enterprise & Consumer Tech)	Unicorn / Scaled Product	★★★★☆ NestJS Go Node.js TypeScript Redis Docker	https://www.intuit.com/careers/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/intuit/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		High scale product engineering. Strong DSA + System Design + production NestJS/Go microservices experience.	₹60K-₹110K	8-16 LPA	Bangalore / Hyderabad / Remote	Hybrid / Remote	★★★☆☆ MEDIUM	MSG-GENERAL
Krutrim	Software Engineer (Backend / Distributed Systems)	Product-Based (Enterprise & Consumer Tech)	Unicorn / Scaled Product	★★★★☆ NestJS Go Node.js TypeScript Redis Docker	https://www.krutrim.ai/careers	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/krutrim-ai/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		High scale product engineering. Strong DSA + System Design + production NestJS/Go microservices experience.	₹60K-₹110K	8-16 LPA	Bangalore / Hyderabad / Remote	Hybrid / Remote	★★★☆☆ MEDIUM	MSG-GENERAL
Lenskart	Software Engineer (Backend / Distributed Systems)	Product-Based (Enterprise & Consumer Tech)	Unicorn / Scaled Product	★★★★☆ NestJS Go Node.js TypeScript Redis Docker	https://www.lenskart.com/careers	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/lenskart-com/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		High scale product engineering. Strong DSA + System Design + production NestJS/Go microservices experience.	₹60K-₹110K	8-16 LPA	Bangalore / Hyderabad / Remote	Hybrid / Remote	★★★☆☆ MEDIUM	MSG-GENERAL
LinkedIn	Software Engineer (Backend / Distributed Systems)	Product-Based (Enterprise & Consumer Tech)	Unicorn / Scaled Product	★★★★☆ NestJS Go Node.js TypeScript Redis Docker	https://www.linkedin.com/jobs/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/linkedin/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		High scale product engineering. Strong DSA + System Design + production NestJS/Go microservices experience.	₹60K-₹110K	8-16 LPA	Bangalore / Hyderabad / Remote	Hybrid / Remote	★★★☆☆ MEDIUM	MSG-GENERAL
Microsoft	Software Engineer (Backend / Distributed Systems)	Product-Based (Enterprise & Consumer Tech)	Unicorn / Scaled Product	★★★★☆ NestJS Go Node.js TypeScript Redis Docker	https://jobs.careers.microsoft.com/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/microsoft/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		High scale product engineering. Strong DSA + System Design + production NestJS/Go microservices experience.	₹60K-₹110K	8-16 LPA	Bangalore / Hyderabad / Remote	Hybrid / Remote	★★★☆☆ MEDIUM	MSG-GENERAL
Moglix	Software Engineer (Backend / Distributed Systems)	Product-Based (Enterprise & Consumer Tech)	Unicorn / Scaled Product	★★★★☆ NestJS Go Node.js TypeScript Redis Docker	https://www.moglix.com/careers	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/moglix/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		High scale product engineering. Strong DSA + System Design + production NestJS/Go microservices experience.	₹60K-₹110K	8-16 LPA	Bangalore / Hyderabad / Remote	Hybrid / Remote	★★★☆☆ MEDIUM	MSG-GENERAL
NVIDIA	Software Engineer (Backend / Distributed Systems)	Product-Based (Enterprise & Consumer Tech)	Unicorn / Scaled Product	★★★★☆ NestJS Go Node.js TypeScript Redis Docker	https://www.nvidia.com/en-us/about-nvidia/careers/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/nvidia/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		High scale product engineering. Strong DSA + System Design + production NestJS/Go microservices experience.	₹60K-₹110K	8-16 LPA	Bangalore / Hyderabad / Remote	Hybrid / Remote	★★★☆☆ MEDIUM	MSG-GENERAL
Navi	Software Engineer - Backend (Go / Node.js)	Product-Based (Fintech & Payments)	Unicorn / Scaled Product	★★★★★ Go Node.js PostgreSQL Redis Kafka	https://www.navi.com/careers/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/navitech/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Fintech domain match. Highlight TaxiBy Cashfree double-entry wallet ledger & NestJS/Go microservices.	₹50K-₹85K	7-12 LPA	Bangalore / Chennai / Hybrid	Hybrid / Remote	★★★☆☆ MEDIUM	MSG-FINTECH
Nykaa	Software Engineer (Backend / Distributed Systems)	Product-Based (Enterprise & Consumer Tech)	Unicorn / Scaled Product	★★★★☆ NestJS Go Node.js TypeScript Redis Docker	https://www.nykaa.com/careers	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/nykaa/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		High scale product engineering. Strong DSA + System Design + production NestJS/Go microservices experience.	₹60K-₹110K	8-16 LPA	Bangalore / Hyderabad / Remote	Hybrid / Remote	★★★☆☆ MEDIUM	MSG-GENERAL
OYO	Software Engineer (Backend / Distributed Systems)	Product-Based (Enterprise & Consumer Tech)	Unicorn / Scaled Product	★★★★☆ NestJS Go Node.js TypeScript Redis Docker	https://www.oyorooms.com/careers/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/oyo-rooms/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		High scale product engineering. Strong DSA + System Design + production NestJS/Go microservices experience.	₹60K-₹110K	8-16 LPA	Bangalore / Hyderabad / Remote	Hybrid / Remote	★★★☆☆ MEDIUM	MSG-GENERAL
Observe.AI	Backend Engineer / SDE I (NestJS / TypeScript)	Product-Based (SaaS, CRM & Cloud Platforms)	Unicorn / Scaled Product	★★★★★ NestJS TypeScript PostgreSQL Prisma AsyncLocalStorage	https://www.observe.ai/careers	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/observe-ai/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		SaaS CRM match. Highlight ProductCRM multi-tenant AsyncLocalStorage isolation & DeepSeek MCP AI Copilot.	₹40K-₹75K	6-10 LPA	Chennai / Bangalore / Remote	Hybrid / Remote	★★★☆☆ MEDIUM	MSG-SAAS
Open Financial Technologies	Software Engineer - Backend (Go / Node.js)	Product-Based (Fintech & Payments)	Unicorn / Scaled Product	★★★★★ Go Node.js PostgreSQL Redis Kafka	https://open.money/careers/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/open-financial-technologies/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Fintech domain match. Highlight TaxiBy Cashfree double-entry wallet ledger & NestJS/Go microservices.	₹50K-₹85K	7-12 LPA	Bangalore / Chennai / Hybrid	Hybrid / Remote	★★★☆☆ MEDIUM	MSG-FINTECH
Oracle	Software Engineer (Backend / Distributed Systems)	Product-Based (Enterprise & Consumer Tech)	Unicorn / Scaled Product	★★★★☆ NestJS Go Node.js TypeScript Redis Docker	https://www.oracle.com/careers/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/oracle/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		High scale product engineering. Strong DSA + System Design + production NestJS/Go microservices experience.	₹60K-₹110K	8-16 LPA	Bangalore / Hyderabad / Remote	Hybrid / Remote	★★★☆☆ MEDIUM	MSG-GENERAL
PayPal	Software Engineer - Backend (Go / Node.js)	Product-Based (Fintech & Payments)	Unicorn / Scaled Product	★★★★★ Go Node.js PostgreSQL Redis Kafka	https://www.paypal.com/us/brc/about-paypal/careers	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/paypal/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Fintech domain match. Highlight TaxiBy Cashfree double-entry wallet ledger & NestJS/Go microservices.	₹50K-₹85K	7-12 LPA	Bangalore / Chennai / Hybrid	Hybrid / Remote	★★★☆☆ MEDIUM	MSG-FINTECH
PensionBox	Software Engineer - Backend (Go / Node.js)	Product-Based (Fintech & Payments)	Unicorn / Scaled Product	★★★★★ Go Node.js PostgreSQL Redis Kafka	https://pensionbox.in/careers	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/pensionbox/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Fintech domain match. Highlight TaxiBy Cashfree double-entry wallet ledger & NestJS/Go microservices.	₹50K-₹85K	7-12 LPA	Bangalore / Chennai / Hybrid	Hybrid / Remote	★★★☆☆ MEDIUM	MSG-FINTECH
Pine Labs	Software Engineer - Backend (Go / Node.js)	Product-Based (Fintech & Payments)	Unicorn / Scaled Product	★★★★★ Go Node.js PostgreSQL Redis Kafka	https://www.pinelabs.com/careers	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/pine-labs/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Fintech domain match. Highlight TaxiBy Cashfree double-entry wallet ledger & NestJS/Go microservices.	₹50K-₹85K	7-12 LPA	Bangalore / Chennai / Hybrid	Hybrid / Remote	★★★☆☆ MEDIUM	MSG-FINTECH
SAP	Software Engineer (Backend / Distributed Systems)	Product-Based (Enterprise & Consumer Tech)	Unicorn / Scaled Product	★★★★☆ NestJS Go Node.js TypeScript Redis Docker	https://www.sap.com/about/careers.html	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/sap/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		High scale product engineering. Strong DSA + System Design + production NestJS/Go microservices experience.	₹60K-₹110K	8-16 LPA	Bangalore / Hyderabad / Remote	Hybrid / Remote	★★★☆☆ MEDIUM	MSG-GENERAL
SaaS Labs	Backend Engineer / SDE I (NestJS / TypeScript)	Product-Based (SaaS, CRM & Cloud Platforms)	Unicorn / Scaled Product	★★★★★ NestJS TypeScript PostgreSQL Prisma AsyncLocalStorage	https://www.saaslabs.co/careers	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/saas-labs/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		SaaS CRM match. Highlight ProductCRM multi-tenant AsyncLocalStorage isolation & DeepSeek MCP AI Copilot.	₹40K-₹75K	6-10 LPA	Chennai / Bangalore / Remote	Hybrid / Remote	★★★☆☆ MEDIUM	MSG-SAAS
Salesforce	Backend Engineer / SDE I (NestJS / TypeScript)	Product-Based (SaaS, CRM & Cloud Platforms)	Unicorn / Scaled Product	★★★★★ NestJS TypeScript PostgreSQL Prisma AsyncLocalStorage	https://careers.salesforce.com/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/salesforce/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		SaaS CRM match. Highlight ProductCRM multi-tenant AsyncLocalStorage isolation & DeepSeek MCP AI Copilot.	₹40K-₹75K	6-10 LPA	Chennai / Bangalore / Remote	Hybrid / Remote	★★★☆☆ MEDIUM	MSG-SAAS
Sarvam AI	Software Engineer (Backend / Distributed Systems)	Product-Based (Enterprise & Consumer Tech)	Unicorn / Scaled Product	★★★★☆ NestJS Go Node.js TypeScript Redis Docker	https://www.sarvam.ai/careers	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/sarvam-ai/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		High scale product engineering. Strong DSA + System Design + production NestJS/Go microservices experience.	₹60K-₹110K	8-16 LPA	Bangalore / Hyderabad / Remote	Hybrid / Remote	★★★☆☆ MEDIUM	MSG-GENERAL
ServiceNow	Backend Engineer / SDE I (NestJS / TypeScript)	Product-Based (SaaS, CRM & Cloud Platforms)	Unicorn / Scaled Product	★★★★★ NestJS TypeScript PostgreSQL Prisma AsyncLocalStorage	https://careers.servicenow.com/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/servicenow/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		SaaS CRM match. Highlight ProductCRM multi-tenant AsyncLocalStorage isolation & DeepSeek MCP AI Copilot.	₹40K-₹75K	6-10 LPA	Chennai / Bangalore / Remote	Hybrid / Remote	★★★☆☆ MEDIUM	MSG-SAAS
Spotify	Software Engineer (Backend / Distributed Systems)	Product-Based (Enterprise & Consumer Tech)	Unicorn / Scaled Product	★★★★☆ NestJS Go Node.js TypeScript Redis Docker	https://www.lifeatspotify.com/jobs	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/spotify/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		High scale product engineering. Strong DSA + System Design + production NestJS/Go microservices experience.	₹60K-₹110K	8-16 LPA	Bangalore / Hyderabad / Remote	Hybrid / Remote	★★★☆☆ MEDIUM	MSG-GENERAL
Tata 1mg	Software Engineer (Backend / Distributed Systems)	Product-Based (Enterprise & Consumer Tech)	Unicorn / Scaled Product	★★★★☆ NestJS Go Node.js TypeScript Redis Docker	https://www.1mg.com/jobs	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/tata-1mg/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		High scale product engineering. Strong DSA + System Design + production NestJS/Go microservices experience.	₹60K-₹110K	8-16 LPA	Bangalore / Hyderabad / Remote	Hybrid / Remote	★★★☆☆ MEDIUM	MSG-GENERAL
Twid	Software Engineer - Backend (Go / Node.js)	Product-Based (Fintech & Payments)	Unicorn / Scaled Product	★★★★★ Go Node.js PostgreSQL Redis Kafka	https://www.twidpay.com/careers	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/twid/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Fintech domain match. Highlight TaxiBy Cashfree double-entry wallet ledger & NestJS/Go microservices.	₹50K-₹85K	7-12 LPA	Bangalore / Chennai / Hybrid	Hybrid / Remote	★★★☆☆ MEDIUM	MSG-FINTECH
Twilio	Software Engineer (Backend / Distributed Systems)	Product-Based (Enterprise & Consumer Tech)	Unicorn / Scaled Product	★★★★☆ NestJS Go Node.js TypeScript Redis Docker	https://www.twilio.com/en-us/company/jobs	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/twilio/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		High scale product engineering. Strong DSA + System Design + production NestJS/Go microservices experience.	₹60K-₹110K	8-16 LPA	Bangalore / Hyderabad / Remote	Hybrid / Remote	★★★☆☆ MEDIUM	MSG-GENERAL
Uber	SDE I / Backend Engineer (NestJS / Go)	Product-Based (Mobility, Quick-Commerce & Logistics)	Unicorn / Scaled Product	★★★★★ NestJS Uber H3 Redis WebSockets Kafka	https://www.uber.com/us/en/careers/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/uber-com/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Mobility/Logistics match. Highlight TaxiBy Uber H3 Hexagonal spatial index (<2ms dispatch) and GPS debouncing.	₹45K-₹80K	6-11 LPA	Bangalore / Chennai / Hybrid	Hybrid / Remote	★★★☆☆ MEDIUM	MSG-MOBILITY
Unacademy	Software Engineer (Backend / Distributed Systems)	Product-Based (Enterprise & Consumer Tech)	Unicorn / Scaled Product	★★★★☆ NestJS Go Node.js TypeScript Redis Docker	https://unacademy.com/careers/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/unacademy/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		High scale product engineering. Strong DSA + System Design + production NestJS/Go microservices experience.	₹60K-₹110K	8-16 LPA	Bangalore / Hyderabad / Remote	Hybrid / Remote	★★★☆☆ MEDIUM	MSG-GENERAL
Uniphore	Backend Engineer / SDE I (NestJS / TypeScript)	Product-Based (SaaS, CRM & Cloud Platforms)	Unicorn / Scaled Product	★★★★★ NestJS TypeScript PostgreSQL Prisma AsyncLocalStorage	https://www.uniphore.com/careers/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/uniphore/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		SaaS CRM match. Highlight ProductCRM multi-tenant AsyncLocalStorage isolation & DeepSeek MCP AI Copilot.	₹40K-₹75K	6-10 LPA	Chennai / Bangalore / Remote	Hybrid / Remote	★★★☆☆ MEDIUM	MSG-SAAS
Vymo	Backend Engineer / SDE I (NestJS / TypeScript)	Product-Based (SaaS, CRM & Cloud Platforms)	Unicorn / Scaled Product	★★★★★ NestJS TypeScript PostgreSQL Prisma AsyncLocalStorage	https://getvymo.com/careers/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/vymo/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		SaaS CRM match. Highlight ProductCRM multi-tenant AsyncLocalStorage isolation & DeepSeek MCP AI Copilot.	₹40K-₹75K	6-10 LPA	Chennai / Bangalore / Remote	Hybrid / Remote	★★★☆☆ MEDIUM	MSG-SAAS
Walmart Global Tech	Software Engineer (Backend / Distributed Systems)	Product-Based (Enterprise & Consumer Tech)	Unicorn / Scaled Product	★★★★☆ NestJS Go Node.js TypeScript Redis Docker	https://careers.walmart.com/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/walmart/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		High scale product engineering. Strong DSA + System Design + production NestJS/Go microservices experience.	₹60K-₹110K	8-16 LPA	Bangalore / Hyderabad / Remote	Hybrid / Remote	★★★☆☆ MEDIUM	MSG-GENERAL
WayCool	SDE I / Backend Engineer (NestJS / Go)	Product-Based (Mobility, Quick-Commerce & Logistics)	Unicorn / Scaled Product	★★★★★ NestJS Uber H3 Redis WebSockets Kafka	https://waycool.in/careers/	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/waycool/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Mobility/Logistics match. Highlight TaxiBy Uber H3 Hexagonal spatial index (<2ms dispatch) and GPS debouncing.	₹45K-₹80K	6-11 LPA	Bangalore / Chennai / Hybrid	Hybrid / Remote	★★★☆☆ MEDIUM	MSG-MOBILITY
Zolve	Software Engineer - Backend (Go / Node.js)	Product-Based (Fintech & Payments)	Unicorn / Scaled Product	★★★★★ Go Node.js PostgreSQL Redis Kafka	https://www.zolve.com/careers	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/zolve/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Fintech domain match. Highlight TaxiBy Cashfree double-entry wallet ledger & NestJS/Go microservices.	₹50K-₹85K	7-12 LPA	Bangalore / Chennai / Hybrid	Hybrid / Remote	★★★☆☆ MEDIUM	MSG-FINTECH
smallcase	Software Engineer - Backend (Go / Node.js)	Product-Based (Fintech & Payments)	Unicorn / Scaled Product	★★★★★ Go Node.js PostgreSQL Redis Kafka	https://www.smallcase.com/careers	Not Applied		Watchlist 2026 / Careers Portal	https://www.linkedin.com/company/smallcase/	Engineering Lead / SDE-2 Referral / Talent Acquisition	LinkedIn Referral + Careers Page				—		Fintech domain match. Highlight TaxiBy Cashfree double-entry wallet ledger & NestJS/Go microservices.	₹50K-₹85K	7-12 LPA	Bangalore / Chennai / Hybrid	Hybrid / Remote	★★★☆☆ MEDIUM	MSG-FINTECH
